Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,82.580002,82.580002,82.580002,82.580002,78.941948,0
2016-12-02,82.599998,82.599998,82.599998,82.599998,78.961060,0
2016-12-05,83.849998,83.849998,83.849998,83.849998,80.155991,0
2016-12-06,84.570000,84.570000,84.570000,84.570000,80.844276,0
2016-12-07,85.330002,85.330002,85.330002,85.330002,81.570793,0
2016-12-08,86.419998,86.419998,86.419998,86.419998,82.612770,0
2016-12-09,86.300003,86.300003,86.300003,86.300003,82.498062,0
2016-12-12,85.610001,85.610001,85.610001,85.610001,81.838455,0
2016-12-13,85.690002,85.690002,85.690002,85.690002,81.914932,0
2016-12-14,84.669998,84.669998,84.669998,84.669998,80.939865,0
2016-12-15,85.279999,85.279999,85.279999,85.279999,81.522995,0
2016-12-16,84.980003,84.980003,84.980003,84.980003,81.236214,0
2016-12-19,85.320000,85.320000,85.320000,85.320000,81.561234,0
2016-12-20,85.680000,85.680000,85.680000,85.680000,81.905373,0
2016-12-21,85.300003,85.300003,85.300003,85.300003,81.542114,0
2016-12-22,84.440002,84.440002,84.440002,84.440002,80.720001,0
2016-12-23,81.150002,81.150002,81.150002,81.150002,81.150002,0
2016-12-27,81.540001,81.540001,81.540001,81.540001,81.540001,0
2016-12-28,80.629997,80.629997,80.629997,80.629997,80.629997,0
2016-12-29,80.760002,80.760002,80.760002,80.760002,80.760002,0
2016-12-30,80.400002,80.400002,80.400002,80.400002,80.400002,0
2017-01-03,80.949997,80.949997,80.949997,80.949997,80.949997,0
2017-01-04,82.330002,82.330002,82.330002,82.330002,82.330002,0
2017-01-05,81.779999,81.779999,81.779999,81.779999,81.779999,0
2017-01-06,81.760002,81.760002,81.760002,81.760002,81.760002,0
2017-01-09,81.599998,81.599998,81.599998,81.599998,81.599998,0
2017-01-10,82.250000,82.250000,82.250000,82.250000,82.250000,0
2017-01-11,82.540001,82.540001,82.540001,82.540001,82.540001,0
2017-01-12,82.260002,82.260002,82.260002,82.260002,82.260002,0
2017-01-13,83.019997,83.019997,83.019997,83.019997,83.019997,0
2017-01-17,82.129997,82.129997,82.129997,82.129997,82.129997,0
2017-01-18,82.430000,82.430000,82.430000,82.430000,82.430000,0
2017-01-19,81.889999,81.889999,81.889999,81.889999,81.889999,0
2017-01-20,82.120003,82.120003,82.120003,82.120003,82.120003,0
2017-01-23,81.830002,81.830002,81.830002,81.830002,81.830002,0
2017-01-24,82.809998,82.809998,82.809998,82.809998,82.809998,0
2017-01-25,83.650002,83.650002,83.650002,83.650002,83.650002,0
2017-01-26,83.169998,83.169998,83.169998,83.169998,83.169998,0
2017-01-27,82.980003,82.980003,82.980003,82.980003,82.980003,0
2017-01-30,82.269997,82.269997,82.269997,82.269997,82.269997,0
2017-01-31,82.769997,82.769997,82.769997,82.769997,82.769997,0
2017-02-01,82.849998,82.849998,82.849998,82.849998,82.849998,0
2017-02-02,82.849998,82.849998,82.849998,82.849998,82.849998,0
2017-02-03,83.769997,83.769997,83.769997,83.769997,83.769997,0
2017-02-06,83.309998,83.309998,83.309998,83.309998,83.309998,0
2017-02-07,83.120003,83.120003,83.120003,83.120003,83.120003,0
2017-02-08,83.070000,83.070000,83.070000,83.070000,83.070000,0
2017-02-09,84.209999,84.209999,84.209999,84.209999,84.209999,0
2017-02-10,84.580002,84.580002,84.580002,84.580002,84.580002,0
2017-02-13,84.629997,84.629997,84.629997,84.629997,84.629997,0
2017-02-14,84.940002,84.940002,84.940002,84.940002,84.940002,0
2017-02-15,85.419998,85.419998,85.419998,85.419998,85.419998,0
2017-02-16,85.050003,85.050003,85.050003,85.050003,85.050003,0
2017-02-17,85.320000,85.320000,85.320000,85.320000,85.320000,0
2017-02-21,85.919998,85.919998,85.919998,85.919998,85.919998,0
2017-02-22,85.459999,85.459999,85.459999,85.459999,85.459999,0
2017-02-23,85.029999,85.029999,85.029999,85.029999,85.029999,0
2017-02-24,85.339996,85.339996,85.339996,85.339996,85.339996,0
2017-02-27,86.010002,86.010002,86.010002,86.010002,86.010002,0
2017-02-28,84.919998,84.919998,84.919998,84.919998,84.919998,0
2017-03-01,86.230003,86.230003,86.230003,86.230003,86.230003,0
2017-03-02,85.519997,85.519997,85.519997,85.519997,85.519997,0
2017-03-03,85.519997,85.519997,85.519997,85.519997,85.519997,0
2017-03-06,84.959999,84.959999,84.959999,84.959999,84.959999,0
2017-03-07,84.440002,84.440002,84.440002,84.440002,84.440002,0
2017-03-08,84.330002,84.330002,84.330002,84.330002,84.330002,0
2017-03-09,84.139999,84.139999,84.139999,84.139999,84.139999,0
2017-03-10,84.580002,84.580002,84.580002,84.580002,84.580002,0
2017-03-13,84.949997,84.949997,84.949997,84.949997,84.949997,0
