Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,201.000000,201.000000,201.000000,201.000000,197.350388,0
2016-12-02,201.080002,201.080002,201.080002,201.080002,197.428940,0
2016-12-05,202.270004,202.270004,202.270004,202.270004,198.597351,0
2016-12-06,202.960007,202.960007,202.960007,202.960007,199.274826,0
2016-12-07,205.669998,205.669998,205.669998,205.669998,201.935593,0
2016-12-08,206.139999,206.139999,206.139999,206.139999,202.397064,0
2016-12-09,207.360001,207.360001,207.360001,207.360001,203.594925,0
2016-12-12,207.139999,207.139999,207.139999,207.139999,203.378922,0
2016-12-13,208.529999,208.529999,208.529999,208.529999,204.743683,0
2016-12-14,206.850006,206.850006,206.850006,206.850006,203.094177,0
2016-12-15,207.660004,207.660004,207.660004,207.660004,203.889465,0
2016-12-16,207.309998,207.309998,207.309998,207.309998,203.545822,0
2016-12-19,207.720001,207.720001,207.720001,207.720001,203.948380,0
2016-12-20,208.500000,208.500000,208.500000,208.500000,204.714203,0
2016-12-21,208.000000,208.000000,208.000000,208.000000,204.223282,0
2016-12-22,207.639999,207.639999,207.639999,207.639999,203.869827,0
2016-12-23,206.050003,206.050003,206.050003,206.050003,204.140305,0
2016-12-27,206.520004,206.520004,206.520004,206.520004,204.605957,0
2016-12-28,204.830002,204.830002,204.830002,204.830002,202.931625,0
2016-12-29,204.779999,204.779999,204.779999,204.779999,202.882080,0
2016-12-30,203.839996,203.839996,203.839996,203.839996,201.950790,0
2017-01-03,205.570007,205.570007,205.570007,205.570007,203.664764,0
2017-01-04,206.800003,206.800003,206.800003,206.800003,204.883362,0
2017-01-05,206.639999,206.639999,206.639999,206.639999,204.724838,0
2017-01-06,207.429993,207.429993,207.429993,207.429993,205.507507,0
2017-01-09,206.690002,206.690002,206.690002,206.690002,204.774384,0
2017-01-10,206.690002,206.690002,206.690002,206.690002,204.774384,0
2017-01-11,207.300003,207.300003,207.300003,207.300003,205.378723,0
2017-01-12,206.860001,206.860001,206.860001,206.860001,204.942795,0
2017-01-13,207.240005,207.240005,207.240005,207.240005,205.319290,0
2017-01-17,206.630005,206.630005,206.630005,206.630005,204.714935,0
2017-01-18,207.020004,207.020004,207.020004,207.020004,205.101318,0
2017-01-19,206.279999,206.279999,206.279999,206.279999,204.368179,0
2017-01-20,206.979996,206.979996,206.979996,206.979996,205.061676,0
2017-01-23,206.429993,206.429993,206.429993,206.429993,204.516785,0
2017-01-24,207.789993,207.789993,207.789993,207.789993,205.864166,0
2017-01-25,209.449997,209.449997,209.449997,209.449997,207.508789,0
2017-01-26,209.309998,209.309998,209.309998,209.309998,207.370087,0
2017-01-27,209.130005,209.130005,209.130005,209.130005,207.191757,0
2017-01-30,207.889999,207.889999,207.889999,207.889999,205.963242,0
