Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,9.960000,9.960000,9.960000,9.960000,9.776299,0
2016-12-02,9.980000,9.980000,9.980000,9.980000,9.795931,0
2016-12-05,9.990000,9.990000,9.990000,9.990000,9.805746,0
2016-12-06,10.010000,10.010000,10.010000,10.010000,9.825377,0
2016-12-07,10.040000,10.040000,10.040000,10.040000,9.854824,0
2016-12-08,10.020000,10.020000,10.020000,10.020000,9.835195,0
2016-12-09,9.980000,9.980000,9.980000,9.980000,9.795931,0
2016-12-12,10.000000,10.000000,10.000000,10.000000,9.815561,0
2016-12-13,9.990000,9.990000,9.990000,9.990000,9.805746,0
2016-12-14,9.920000,9.920000,9.920000,9.920000,9.737037,0
2016-12-15,9.900000,9.900000,9.900000,9.900000,9.717406,0
2016-12-16,9.910000,9.910000,9.910000,9.910000,9.727221,0
2016-12-19,9.950000,9.950000,9.950000,9.950000,9.766485,0
2016-12-20,9.940000,9.940000,9.940000,9.940000,9.756669,0
2016-12-21,9.960000,9.960000,9.960000,9.960000,9.776299,0
2016-12-22,9.960000,9.960000,9.960000,9.960000,9.776299,0
2016-12-23,9.970000,9.970000,9.970000,9.970000,9.786114,0
2016-12-27,9.960000,9.960000,9.960000,9.960000,9.776299,0
2016-12-28,9.990000,9.990000,9.990000,9.990000,9.805746,0
2016-12-29,10.010000,10.010000,10.010000,10.010000,9.825377,0
2016-12-30,10.010000,10.010000,10.010000,10.010000,9.850965,0
2017-01-03,10.030000,10.030000,10.030000,10.030000,9.870646,0
2017-01-04,10.030000,10.030000,10.030000,10.030000,9.870646,0
2017-01-05,10.090000,10.090000,10.090000,10.090000,9.929694,0
2017-01-06,10.060000,10.060000,10.060000,10.060000,9.900169,0
2017-01-09,10.080000,10.080000,10.080000,10.080000,9.919852,0
2017-01-10,10.090000,10.090000,10.090000,10.090000,9.929694,0
2017-01-11,10.100000,10.100000,10.100000,10.100000,9.939537,0
2017-01-12,10.090000,10.090000,10.090000,10.090000,9.929694,0
2017-01-13,10.080000,10.080000,10.080000,10.080000,9.919852,0
2017-01-17,10.110000,10.110000,10.110000,10.110000,9.949375,0
2017-01-18,10.050000,10.050000,10.050000,10.050000,9.890327,0
2017-01-19,10.050000,10.050000,10.050000,10.050000,9.890327,0
2017-01-20,10.060000,10.060000,10.060000,10.060000,9.900169,0
2017-01-23,10.100000,10.100000,10.100000,10.100000,9.939537,0
2017-01-24,10.060000,10.060000,10.060000,10.060000,9.900169,0
2017-01-25,10.030000,10.030000,10.030000,10.030000,9.870646,0
2017-01-26,10.060000,10.060000,10.060000,10.060000,9.900169,0
2017-01-27,10.080000,10.080000,10.080000,10.080000,9.919852,0
2017-01-30,10.080000,10.080000,10.080000,10.080000,9.919852,0
2017-01-31,10.080000,10.080000,10.080000,10.080000,9.940560,0
2017-02-01,10.080000,10.080000,10.080000,10.080000,9.940560,0
2017-02-02,10.070000,10.070000,10.070000,10.070000,9.930699,0
2017-02-03,10.070000,10.070000,10.070000,10.070000,9.930699,0
2017-02-06,10.120000,10.120000,10.120000,10.120000,9.980008,0
2017-02-07,10.130000,10.130000,10.130000,10.130000,9.989869,0
2017-02-08,10.150000,10.150000,10.150000,10.150000,10.009593,0
2017-02-09,10.120000,10.120000,10.120000,10.120000,9.980008,0
2017-02-10,10.120000,10.120000,10.120000,10.120000,9.980008,0
2017-02-13,10.110000,10.110000,10.110000,10.110000,9.970146,0
2017-02-14,10.080000,10.080000,10.080000,10.080000,9.940560,0
2017-02-15,10.060000,10.060000,10.060000,10.060000,9.920838,0
2017-02-16,10.090000,10.090000,10.090000,10.090000,9.950423,0
2017-02-17,10.120000,10.120000,10.120000,10.120000,9.980008,0
2017-02-21,10.120000,10.120000,10.120000,10.120000,9.980008,0
2017-02-22,10.130000,10.130000,10.130000,10.130000,9.989869,0
2017-02-23,10.140000,10.140000,10.140000,10.140000,9.999732,0
2017-02-24,10.180000,10.180000,10.180000,10.180000,10.039179,0
2017-02-27,10.150000,10.150000,10.150000,10.150000,10.009593,0
2017-02-28,10.150000,10.150000,10.150000,10.150000,10.032326,0
2017-03-01,10.080000,10.080000,10.080000,10.080000,9.963138,0
2017-03-02,10.070000,10.070000,10.070000,10.070000,9.953254,0
2017-03-03,10.080000,10.080000,10.080000,10.080000,9.963138,0
2017-03-06,10.080000,10.080000,10.080000,10.080000,9.963138,0
2017-03-07,10.050000,10.050000,10.050000,10.050000,9.933486,0
2017-03-08,10.030000,10.030000,10.030000,10.030000,9.913719,0
2017-03-09,10.010000,10.010000,10.010000,10.010000,9.893950,0
2017-03-10,10.020000,10.020000,10.020000,10.020000,9.903834,0
2017-03-13,10.000000,10.000000,10.000000,10.000000,9.884066,0
2017-03-14,10.000000,10.000000,10.000000,10.000000,9.884066,0
2017-03-15,10.060000,10.060000,10.060000,10.060000,9.943371,0
2017-03-16,10.050000,10.050000,10.050000,10.050000,9.933486,0
2017-03-17,10.070000,10.070000,10.070000,10.070000,9.953254,0
2017-03-20,10.080000,10.080000,10.080000,10.080000,9.963138,0
2017-03-21,10.100000,10.100000,10.100000,10.100000,9.982907,0
2017-03-22,10.110000,10.110000,10.110000,10.110000,9.992789,0
2017-03-23,10.110000,10.110000,10.110000,10.110000,9.992789,0
2017-03-24,10.110000,10.110000,10.110000,10.110000,9.992789,0
2017-03-27,10.110000,10.110000,10.110000,10.110000,9.992789,0
2017-03-28,10.090000,10.090000,10.090000,10.090000,9.973022,0
2017-03-29,10.120000,10.120000,10.120000,10.120000,10.002674,0
2017-03-30,10.100000,10.100000,10.100000,10.100000,9.982907,0
2017-03-31,10.120000,10.120000,10.120000,10.120000,10.031478,0
2017-04-03,10.160000,10.160000,10.160000,10.160000,10.071128,0
2017-04-04,10.150000,10.150000,10.150000,10.150000,10.061214,0
2017-04-05,10.160000,10.160000,10.160000,10.160000,10.071128,0
2017-04-06,10.160000,10.160000,10.160000,10.160000,10.071128,0
2017-04-07,10.130000,10.130000,10.130000,10.130000,10.041391,0
2017-04-10,10.150000,10.150000,10.150000,10.150000,10.061214,0
2017-04-11,10.190000,10.190000,10.190000,10.190000,10.100864,0
2017-04-12,10.200000,10.200000,10.200000,10.200000,10.110778,0
2017-04-13,10.220000,10.220000,10.220000,10.220000,10.130604,0
2017-04-17,10.210000,10.210000,10.210000,10.210000,10.120690,0
2017-04-18,10.250000,10.250000,10.250000,10.250000,10.160339,0
2017-04-19,10.230000,10.230000,10.230000,10.230000,10.140515,0
2017-04-20,10.210000,10.210000,10.210000,10.210000,10.120690,0
2017-04-21,10.210000,10.210000,10.210000,10.210000,10.120690,0
2017-04-24,10.180000,10.180000,10.180000,10.180000,10.090954,0
2017-04-25,10.150000,10.150000,10.150000,10.150000,10.061214,0
2017-04-26,10.160000,10.160000,10.160000,10.160000,10.071128,0
2017-04-27,10.170000,10.170000,10.170000,10.170000,10.081040,0
2017-04-28,10.180000,10.180000,10.180000,10.180000,10.115820,0
2017-05-01,10.150000,10.150000,10.150000,10.150000,10.086009,0
2017-05-02,10.170000,10.170000,10.170000,10.170000,10.105883,0
2017-05-03,10.160000,10.160000,10.160000,10.160000,10.095945,0
2017-05-04,10.130000,10.130000,10.130000,10.130000,10.066135,0
2017-05-05,10.140000,10.140000,10.140000,10.140000,10.076072,0
