Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,22.090000,22.090000,22.090000,22.090000,22.090000,0
2016-12-02,22.020000,22.020000,22.020000,22.020000,22.020000,0
2016-12-06,22.510000,22.510000,22.510000,22.510000,22.510000,0
2016-12-07,23.120001,23.120001,23.120001,23.120001,23.120001,0
2016-12-08,23.070000,23.070000,23.070000,23.070000,23.070000,0
2016-12-09,22.950001,22.950001,22.950001,22.950001,22.950001,0
2016-12-12,22.889999,22.889999,22.889999,22.889999,22.889999,0
2016-12-13,23.030001,23.030001,23.030001,23.030001,23.030001,0
2016-12-14,22.700001,22.700001,22.700001,22.700001,22.700001,0
2016-12-15,22.690001,22.690001,22.690001,22.690001,22.690001,0
2016-12-16,22.709999,22.709999,22.709999,22.709999,22.709999,0
2016-12-19,22.580000,22.580000,22.580000,22.580000,22.580000,0
2016-12-20,22.650000,22.650000,22.650000,22.650000,22.650000,0
2016-12-21,22.700001,22.700001,22.700001,22.700001,22.700001,0
2016-12-22,22.650000,22.650000,22.650000,22.650000,22.650000,0
2016-12-23,22.650000,22.650000,22.650000,22.650000,22.650000,0
2016-12-27,22.650000,22.650000,22.650000,22.650000,22.650000,0
2016-12-28,22.639999,22.639999,22.639999,22.639999,22.639999,0
2016-12-29,22.629999,22.629999,22.629999,22.629999,22.629999,0
2016-12-30,22.709999,22.709999,22.709999,22.709999,22.709999,0
2017-01-03,22.809999,22.809999,22.809999,22.809999,22.809999,0
2017-01-04,23.049999,23.049999,23.049999,23.049999,23.049999,0
2017-01-05,23.299999,23.299999,23.299999,23.299999,23.299999,0
2017-01-06,23.190001,23.190001,23.190001,23.190001,23.190001,0
2017-01-09,23.200001,23.200001,23.200001,23.200001,23.200001,0
2017-01-10,23.309999,23.309999,23.309999,23.309999,23.309999,0
2017-01-11,23.410000,23.410000,23.410000,23.410000,23.410000,0
2017-01-12,23.459999,23.459999,23.459999,23.459999,23.459999,0
2017-01-13,23.650000,23.650000,23.650000,23.650000,23.650000,0
2017-01-17,23.530001,23.530001,23.530001,23.530001,23.530001,0
2017-01-18,23.379999,23.379999,23.379999,23.379999,23.379999,0
2017-01-19,23.480000,23.480000,23.480000,23.480000,23.480000,0
2017-01-20,23.570000,23.570000,23.570000,23.570000,23.570000,0
2017-01-23,23.620001,23.620001,23.620001,23.620001,23.620001,0
2017-01-24,23.690001,23.690001,23.690001,23.690001,23.690001,0
2017-01-25,24.090000,24.090000,24.090000,24.090000,24.090000,0
2017-01-26,23.969999,23.969999,23.969999,23.969999,23.969999,0
2017-01-27,23.879999,23.879999,23.879999,23.879999,23.879999,0
2017-01-30,23.629999,23.629999,23.629999,23.629999,23.629999,0
2017-01-31,23.650000,23.650000,23.650000,23.650000,23.650000,0
2017-02-01,23.750000,23.750000,23.750000,23.750000,23.750000,0
2017-02-02,23.700001,23.700001,23.700001,23.700001,23.700001,0
2017-02-03,23.760000,23.760000,23.760000,23.760000,23.760000,0
2017-02-06,23.670000,23.670000,23.670000,23.670000,23.670000,0
2017-02-07,23.600000,23.600000,23.600000,23.600000,23.600000,0
2017-02-08,23.580000,23.580000,23.580000,23.580000,23.580000,0
2017-02-09,23.620001,23.620001,23.620001,23.620001,23.620001,0
2017-02-10,23.700001,23.700001,23.700001,23.700001,23.700001,0
2017-02-13,23.870001,23.870001,23.870001,23.870001,23.870001,0
2017-02-14,23.850000,23.850000,23.850000,23.850000,23.850000,0
2017-02-15,23.969999,23.969999,23.969999,23.969999,23.969999,0
2017-02-16,23.980000,23.980000,23.980000,23.980000,23.980000,0
2017-02-17,23.809999,23.809999,23.809999,23.809999,23.809999,0
2017-02-21,23.959999,23.959999,23.959999,23.959999,23.959999,0
2017-02-22,24.020000,24.020000,24.020000,24.020000,24.020000,0
2017-02-23,24.070000,24.070000,24.070000,24.070000,24.070000,0
2017-02-24,23.740000,23.740000,23.740000,23.740000,23.740000,0
2017-02-27,23.780001,23.780001,23.780001,23.780001,23.780001,0
2017-02-28,23.840000,23.840000,23.840000,23.840000,23.840000,0
2017-03-01,24.170000,24.170000,24.170000,24.170000,24.170000,0
2017-03-02,24.120001,24.120001,24.120001,24.120001,24.120001,0
2017-03-03,24.280001,24.280001,24.280001,24.280001,24.280001,0
2017-03-06,24.280001,24.280001,24.280001,24.280001,24.280001,0
2017-03-07,24.049999,24.049999,24.049999,24.049999,24.049999,0
2017-03-08,24.059999,24.059999,24.059999,24.059999,24.059999,0
2017-03-09,24.090000,24.090000,24.090000,24.090000,24.090000,0
2017-03-10,24.299999,24.299999,24.299999,24.299999,24.299999,0
2017-03-13,24.379999,24.379999,24.379999,24.379999,24.379999,0
2017-03-14,24.240000,24.240000,24.240000,24.240000,24.240000,0
2017-03-15,24.570000,24.570000,24.570000,24.570000,24.570000,0
2017-03-16,24.870001,24.870001,24.870001,24.870001,24.870001,0
2017-03-17,24.879999,24.879999,24.879999,24.879999,24.879999,0
2017-03-20,24.840000,24.840000,24.840000,24.840000,24.840000,0
2017-03-21,24.790001,24.790001,24.790001,24.790001,24.790001,0
2017-03-22,24.629999,24.629999,24.629999,24.629999,24.629999,0
2017-03-23,24.799999,24.799999,24.799999,24.799999,24.799999,0
2017-03-24,24.780001,24.780001,24.780001,24.780001,24.780001,0
2017-03-27,24.770000,24.770000,24.770000,24.770000,24.770000,0
2017-03-28,24.830000,24.830000,24.830000,24.830000,24.830000,0
2017-03-29,24.900000,24.900000,24.900000,24.900000,24.900000,0
2017-03-30,24.850000,24.850000,24.850000,24.850000,24.850000,0
2017-03-31,24.860001,24.860001,24.860001,24.860001,24.860001,0
2017-04-03,24.700001,24.700001,24.700001,24.700001,24.700001,0
2017-04-04,24.680000,24.680000,24.680000,24.680000,24.680000,0
2017-04-05,24.660000,24.660000,24.660000,24.660000,24.660000,0
2017-04-06,24.660000,24.660000,24.660000,24.660000,24.660000,0
2017-04-07,24.600000,24.600000,24.600000,24.600000,24.600000,0
2017-04-10,24.610001,24.610001,24.610001,24.610001,24.610001,0
2017-04-11,24.639999,24.639999,24.639999,24.639999,24.639999,0
2017-04-12,24.700001,24.700001,24.700001,24.700001,24.700001,0
2017-04-13,24.530001,24.530001,24.530001,24.530001,24.530001,0
2017-04-17,24.580000,24.580000,24.580000,24.580000,24.580000,0
2017-04-18,24.510000,24.510000,24.510000,24.510000,24.510000,0
2017-04-19,24.600000,24.600000,24.600000,24.600000,24.600000,0
2017-04-20,24.730000,24.730000,24.730000,24.730000,24.730000,0
2017-04-21,24.760000,24.760000,24.760000,24.760000,24.760000,0
2017-04-24,25.549999,25.549999,25.549999,25.549999,25.549999,0
2017-04-25,25.879999,25.879999,25.879999,25.879999,25.879999,0
2017-04-26,26.070000,26.070000,26.070000,26.070000,26.070000,0
2017-04-27,25.940001,25.940001,25.940001,25.940001,25.940001,0
2017-04-28,25.950001,25.950001,25.950001,25.950001,25.950001,0
2017-05-01,25.950001,25.950001,25.950001,25.950001,25.950001,0
2017-05-02,26.090000,26.090000,26.090000,26.090000,26.090000,0
2017-05-03,25.920000,25.920000,25.920000,25.920000,25.920000,0
